rank,player,age,team,position,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,effective_field_goal_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
498,Ben Simmons,27,BRK,PG,15,12,359,4.3,7.4,0.581,0,0,NA,4.3,7.4,0.581,0.581,0.6,1.5,0.4,3.1,8.8,11.9,8.6,1.2,0.9,2.7,3.6,9.2
499,JT Thor,21,CHO,PF,63,3,781,3.7,8.4,0.437,1.3,3.7,0.346,2.4,4.7,0.51,0.514,0.5,0.9,0.55,2,4.7,6.7,1.3,0.5,1.2,0.7,2.8,9.2
500,Yuta Watanabe,29,2TM,SF,34,0,464,3.2,9,0.353,1.9,6.6,0.294,1.2,2.4,0.516,0.461,0.8,1.3,0.588,0.9,3.3,4.2,1.2,0.9,0.5,1.5,3,9.1
501,Ashton Hagans,24,POR,PG,19,1,316,3.3,8.1,0.408,0.9,2.8,0.32,2.4,5.2,0.457,0.465,1.6,1.9,0.824,1.6,3.5,5.1,6.2,1.3,1,3.4,4.6,9.1
502,Joe Ingles,36,ORL,SF,68,0,1169,3,7,0.436,2.2,5,0.435,0.9,2,0.439,0.59,0.9,1,0.824,0.6,3.8,4.4,6.3,1.3,0.2,2.1,2.7,9.1
503,Mason Jones,25,SAC,SG,5,0,28,2.6,10.3,0.25,2.6,9,0.286,0,1.3,0,0.375,1.3,2.6,0.5,1.3,5.1,6.4,6.4,1.3,0,2.6,3.9,9
504,Vit Krejci,23,ATL,PG,22,14,541,3.4,6.9,0.49,1.9,4.5,0.412,1.5,2.4,0.639,0.625,0.3,0.4,0.833,0.7,2.7,3.5,3.3,0.9,0.4,1.3,3.2,9
505,Dwight Powell,32,DAL,C,63,9,836,3.1,4.6,0.679,0,0.1,0.333,3.1,4.4,0.689,0.684,2.7,3.8,0.708,4.2,5,9.2,3.6,1.1,0.9,1.4,4.9,9
506,TyTy Washington Jr.,22,MIL,PG,11,0,56,3.9,12.9,0.3,1.3,3.9,0.333,2.6,9,0.286,0.35,0,0,NA,0.6,2.6,3.2,3.2,1.9,0,1.3,0.6,9
507,Jacob Gilyard,25,2TM,PG,41,14,699,3.1,7.7,0.4,2.6,6.5,0.405,0.5,1.2,0.375,0.57,0.1,0.1,1,0.5,1.9,2.4,7.1,1.7,0.3,1.5,2,8.9
508,Johnny Davis,21,WAS,SG,50,6,613,3.6,9,0.403,0.8,2.3,0.35,2.8,6.7,0.421,0.448,0.8,1.4,0.583,1.1,3.2,4.2,1.9,1.1,0.6,0.8,3.3,8.9
509,Chuma Okeke,25,ORL,SF,47,8,432,3.3,9.3,0.357,1.9,6.8,0.28,1.4,2.5,0.567,0.46,0.3,0.6,0.571,1.5,5.2,6.7,1.7,0.7,0.6,1.3,1.6,8.9
510,Isaiah Livers,25,DET,PF,23,6,469,3.1,8.9,0.345,1.7,5.9,0.286,1.4,3,0.462,0.44,0.9,1.4,0.667,1.2,2.5,3.7,1.9,1,0.4,1.2,3.3,8.8
511,Rayan Rupert,19,POR,SG,39,12,633,3.1,9.2,0.335,1.6,4.4,0.359,1.5,4.7,0.313,0.422,1.1,1.4,0.76,1.4,3.9,5.2,3.5,0.7,0.2,1.8,3.2,8.8
512,Terry Taylor,24,CHI,PF,31,0,188,3.8,7.5,0.513,0.4,1.7,0.222,3.4,5.7,0.6,0.538,0.8,1,0.8,3.3,3.8,7.1,1.9,1,0.4,1.3,3.3,8.8
513,Leaky Black,24,CHO,SF,26,3,284,3.2,6.6,0.481,1.1,2.5,0.45,2,4.1,0.5,0.567,1.3,1.9,0.667,1.1,4.9,6.1,3,1,1.4,0.8,2.4,8.7
514,Trevelin Queen,26,ORL,SG,14,0,165,3.1,8.3,0.368,0.7,3.7,0.176,2.4,4.6,0.524,0.408,2,2.6,0.75,0.7,3.7,4.4,3.9,1.5,1.1,1.5,3.3,8.7
515,Wendell Moore Jr.,22,MIN,SG,25,0,75,4.3,8.6,0.5,0,2.9,0,4.3,5.8,0.75,0.5,0,0,NA,0,5.8,5.8,2.9,2.4,0.5,1.9,2.4,8.6
